,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating
371,11641 Vicilia,Garden Grove,CA,92841,848000,4,2,1258,7219,1955,28,674,http://www.redfin.com/CA/Garden-Grove/11641-Vicilia-St-92841/home/3646640,OC21163003,33.7935192,-117.98066,6.333
372,10856 Lotus Dr,Garden Grove,CA,92843,1004900,5,3.5,2561,3167,2013,30,392,http://www.redfin.com/CA/Garden-Grove/10856-Lotus-Dr-92843/home/51681851,LG21161631,33.752596,-117.9401174,7.667
373,11082 Sherman Ave,Garden Grove,CA,92843,899000,3,2,1312,6720,1954,31,685,http://www.redfin.com/CA/Garden-Grove/11082-Sherman-Ave-92843/home/3475170,PW21160891,33.7713225,-117.9364105,7
374,12632 Palomar St,Garden Grove,CA,92845,898000,5,2,1654,6000,1963,33,543,http://www.redfin.com/CA/Garden-Grove/12632-Palomar-St-92845/home/3623995,PW21159189,33.7790423,-118.0152008,8.667
375,12191 Santa Rosalia St,Garden Grove,CA,92841,938800,6,4,1888,7202,1958,33,497,http://www.redfin.com/CA/Garden-Grove/12191-Santa-Rosalia-St-92841/home/3635869,PW21157258,33.7853574,-117.9985031,7
376,12322 Adelle St,Garden Grove,CA,92841,865000,3,2,1461,7234,1955,38,592,http://www.redfin.com/CA/Garden-Grove/12322-Adelle-St-92841/home/3922696,TR21155071,33.7836322,-117.9821241,6.667
377,10323 Eclipse Ct,Garden Grove,CA,92840,698000,3,3,1478,1325,1997,44,472,http://www.redfin.com/CA/Garden-Grove/10323-Eclipse-Ct-92840/home/3396284,OC21149540,33.7758138,-117.9528892,7
378,10681 Allen,Garden Grove,CA,92840,887700,4,2,1549,9100,1954,45,573,http://www.redfin.com/CA/Garden-Grove/10681-Allen-Dr-92840/home/3386319,PW21148471,33.7857077,-117.9465472,7.667
379,11191 Clarissa St,Garden Grove,CA,92840,950000,6,4,2502,8631,1959,51,380,http://www.redfin.com/CA/Garden-Grove/11191-Clarissa-St-92840/home/3394508,21-756156,33.800285,-117.9464557,6.667
380,11912 Edgewood Ln,Garden Grove,CA,92840,880000,4,3,1966,7208,1953,53,448,http://www.redfin.com/CA/Garden-Grove/11912-Edgewood-Ln-92840/home/3386737,OC21142550,33.7894106,-117.9556308,6.667
381,9692 Blanche Ave,Garden Grove,CA,92841,1088000,4,3,1901,8400,1954,53,572,http://www.redfin.com/CA/Garden-Grove/9692-Blanche-Ave-92841/home/3652686,PW21142539,33.7860696,-117.9640048,6.667
382,12471 Chase St,Garden Grove,CA,92845,798000,3,2,1307,6767,1962,54,611,http://www.redfin.com/CA/Garden-Grove/12471-Chase-St-92845/home/3626568,PW21141584,33.7816543,-118.0286036,8.667
383,10691 Mckeen St,Garden Grove,CA,92843,699999,2,2,780,6300,1923,54,897,http://www.redfin.com/CA/Garden-Grove/10691-McKeen-St-92843/home/3462885,DW21140463,33.7716313,-117.9428633,7
384,8821 Imperial Ave,Garden Grove,CA,92844,970000,7,3.5,2159,8750,1954,56,449,http://www.redfin.com/CA/Garden-Grove/8821-Imperial-Ave-92844/home/3438137,PW21139790,33.7701146,-117.9754439,7.667
385,9152 Stanford Ave,Garden Grove,CA,92841,1000000,4,3,2601,12467,1953,59,384,http://www.redfin.com/CA/Garden-Grove/9152-Stanford-Ave-92841/home/3658617,PW21137041,33.7773967,-117.9721495,7.333
386,9691 Bixby Ave,Garden Grove,CA,92841,2600000,4,3,1889,36155,1949,71,1376,http://www.redfin.com/CA/Garden-Grove/9691-Bixby-Ave-92841/home/45495851,PW21127797,33.7851561,-117.963959,6.667
387,8571 Davmor Ave,Garden Grove,CA,92841,870000,4,2.5,1857,7200,1956,76,468,http://www.redfin.com/CA/Garden-Grove/8571-Davmor-Ave-92841/home/3645000,PW21122124,33.7971669,-117.9829934,6.333
388,13232 Pinto Rd,Garden Grove,CA,92843,850000,4,2.5,2233,7425,1955,78,381,http://www.redfin.com/CA/Garden-Grove/13232-Pinto-Rd-92843/home/3478725,PW21121365,33.7709223,-117.9221998,6.667
389,13142 Palm St,Garden Grove,CA,92843,780000,3,1,929,7245,1954,79,840,http://www.redfin.com/CA/Garden-Grove/13142-Palm-St-92843/home/3486350,OC21118924,33.772124,-117.915403,6
390,13812 Figueroa St,Garden Grove,CA,92843,960000,5,2,2030,7200,1953,89,473,http://www.redfin.com/CA/Garden-Grove/13812-Figueroa-St-92843/home/3485812,PW21111522,33.7623781,-117.9190646,6
391,12302 Santa Rosalia St,Garden Grove,CA,92841,797000,4,2,1281,7475,1958,99,622,http://www.redfin.com/CA/Garden-Grove/12302-Santa-Rosalia-St-92841/home/3635666,OC21104139,33.7836947,-117.9979083,7
392,10621 Vienna Dr,Garden Grove,CA,92840,759000,4,1.75,1320,7282,1954,101,575,http://www.redfin.com/CA/Garden-Grove/10621-Vienna-Dr-92840/home/3383425,PW21101700,33.7801095,-117.9474853,7.667
393,9911 Lampson Ave,Garden Grove,CA,92841,1099000,3,2,2210,14250,1951,109,497,http://www.redfin.com/CA/Garden-Grove/9911-Lampson-Ave-92841/home/3652855,PW21095293,33.7816231,-117.9598407,6.667
394,13465 Mitchell Ave,Garden Grove,CA,92843,1095000,5,3,2000,7500,1953,130,548,http://www.redfin.com/CA/Garden-Grove/13465-Mitchell-Ave-92843/home/3464850,PW21072011,33.7674155,-117.940209,7
395,9122 Healey Dr,Garden Grove,CA,92841,790000,5,2,1950,7202,1956,136,405,http://www.redfin.com/CA/Garden-Grove/9122-Healey-Dr-92841/home/3654400,PW21074178,33.7845184,-117.9731104,6.667
396,8821 Orangewood Ave,Garden Grove,CA,92841,950000,2,1,1358,12935,1926,141,700,http://www.redfin.com/CA/Garden-Grove/8821-Orangewood-Ave-92841/home/3644516,OC21069655,33.7960554,-117.9781892,6.333
397,12551 Lambert Cir,Garden Grove,CA,92841,1200000,6,4,2971,11544,1953,154,404,http://www.redfin.com/CA/Garden-Grove/12551-Lambert-Cir-92841/home/3655962,OC21059032,33.7804886,-117.965858,7
398,12351 Georgian St,Garden Grove,CA,92841,1100000,5,3,2478,9300,1958,759,444,http://www.redfin.com/CA/Garden-Grove/12351-Georgian-St-92841/home/3635773,OC19176727,33.7832148,-117.9956895,7
399,4911 Hilo Cir,Huntington Beach,CA,92649,949999,3,2,1232,6060,1963,11,771,http://www.redfin.com/CA/Huntington-Beach/4911-Hilo-Cir-92649/home/3867977,OC21176228,33.727352,-118.0427829,7.667
400,18745 Park Haven Ln,Huntington Beach,CA,92648,965000,3,2.5,1647,2306,1997,1,586,http://www.redfin.com/CA/Huntington-Beach/18745-Park-Haven-Ln-92648/home/3838722,OC21185403,33.6900646,-117.9972678,8
401,19202 Hickory Ln,Huntington Beach,CA,92646,1049900,3,2,1416,6030,1969,2,741,http://www.redfin.com/CA/Huntington-Beach/19202-Hickory-Ln-92646/home/3803687,PW21178051,33.6838003,-117.9673451,9
402,20081 Lawson Ln,Huntington Beach,CA,92646,1215000,4,2.75,2334,6000,1966,2,521,http://www.redfin.com/CA/Huntington-Beach/20081-Lawson-Ln-92646/home/3812864,219066485,33.6711911,-117.9505163,8.667
403,6525 Park Royal Cir,Huntington Beach,CA,92648,2995000,4,3,3608,7030,1999,2,830,http://www.redfin.com/CA/Huntington-Beach/6525-Park-Royal-Cir-92648/home/3547924,OC21183483,33.68195,-118.014339,8.333
404,15661 Sunflower Ln,Huntington Beach,CA,92647,1239000,5,3,2570,6214,1974,2,482,http://www.redfin.com/CA/Huntington-Beach/15661-Sunflower-Ln-92647/home/3746426,OC21144571,33.7349327,-118.0085905,8.333
405,6121 CORNELL Dr,Huntington Beach,CA,92647,950000,5,1.75,1756,279655200,1963,2,541,http://www.redfin.com/CA/Huntington-Beach/6121-Cornell-Dr-92647/home/3752584,OC21122553,33.7409717,-118.0220624,7.667
406,9302 Power Dr,Huntington Beach,CA,92646,2300000,5,4.5,3895,6480,1990,3,591,http://www.redfin.com/CA/Huntington-Beach/9302-Power-Dr-92646/home/3781847,PW21181975,33.6555091,-117.9655683,8.667
407,18775 Chapel Ln,Huntington Beach,CA,92646,799900,3,2.5,1779,2544,1983,3,450,http://www.redfin.com/CA/Huntington-Beach/18775-Chapel-Ln-92646/home/3832616,OC21182052,33.6904169,-117.984773,7.333
408,528 14th St,Huntington Beach,CA,92648,2199900,3,3.5,2650,2875,1999,3,830,http://www.redfin.com/CA/Huntington-Beach/528-14th-St-92648/home/3140220,OC21180865,33.6670443,-118.0054607,8
409,6431 Harmony Cir,Huntington Beach,CA,92647,849888,3,1.75,1218,6000,1964,3,698,http://www.redfin.com/CA/Huntington-Beach/6431-Harmony-Cir-92647/home/3884680,PW21183975,33.7478988,-118.0166189,8
410,19801 Chesapeake Ln,Huntington Beach,CA,92646,1199900,5,2,2198,6840,1962,3,546,http://www.redfin.com/CA/Huntington-Beach/19801-Chesapeake-Ln-92646/home/3797922,OC21178347,33.6748649,-117.966486,9
411,210 Alabama St,Huntington Beach,CA,92648,1899000,2,1,822,5100,1939,3,2310,http://www.redfin.com/CA/Huntington-Beach/210-Alabama-St-92648/home/3145423,OC21183726,33.6588703,-117.9963071,8
412,707 Hill St,Huntington Beach,CA,92648,1595000,4,3.75,2563,3510,1990,3,622,http://www.redfin.com/CA/Huntington-Beach/707-Hill-St-92648/home/3145754,OC21157446,33.6637392,-117.9905863,7.667
