,Listing URL,School Name,School Rating,School Type,School Grades
524,http://www.redfin.com/CA/Brea/2481-Sommerset-Dr-92821/home/4155891,Brea Junior High,8.0,Public,7 to 8
525,http://www.redfin.com/CA/Brea/2481-Sommerset-Dr-92821/home/4155891,Brea-Olinda High,7.0,Public,9 to 12
526,http://www.redfin.com/CA/Brea/1200-Walling-Ave-92821/home/4133226,Ladera Palma Elementary,4.0,Public,K to 4
527,http://www.redfin.com/CA/Brea/1200-Walling-Ave-92821/home/4133226,Sierra Vista Elementary,5.0,Public,K to 6
528,http://www.redfin.com/CA/Brea/1200-Walling-Ave-92821/home/4133226,Washington Middle,4.0,Public,7 to 8
529,http://www.redfin.com/CA/Brea/1200-Walling-Ave-92821/home/4133226,Sonora High,8.0,Public,9 to 12
530,http://www.redfin.com/CA/Brea/553-S-Walnut-Ave-92821/home/4083774,Arovista Elementary,6.0,Public,K to 6
531,http://www.redfin.com/CA/Brea/553-S-Walnut-Ave-92821/home/4083774,Brea Junior High,8.0,Public,7 to 8
532,http://www.redfin.com/CA/Brea/553-S-Walnut-Ave-92821/home/4083774,Brea-Olinda High,7.0,Public,9 to 12
533,http://www.redfin.com/CA/Brea/1975-Skywood-St-92821/home/4119010,Ladera Palma Elementary,4.0,Public,K to 4
534,http://www.redfin.com/CA/Brea/1975-Skywood-St-92821/home/4119010,Sierra Vista Elementary,5.0,Public,K to 6
535,http://www.redfin.com/CA/Brea/1975-Skywood-St-92821/home/4119010,Washington Middle,4.0,Public,7 to 8
536,http://www.redfin.com/CA/Brea/1975-Skywood-St-92821/home/4119010,Sonora High,8.0,Public,9 to 12
537,http://www.redfin.com/CA/Brea/856-Jones-Dr-92821/home/5924533,Mariposa Elementary,8.0,Public,K to 6
538,http://www.redfin.com/CA/Brea/856-Jones-Dr-92821/home/5924533,Brea Junior High,8.0,Public,7 to 8
539,http://www.redfin.com/CA/Brea/856-Jones-Dr-92821/home/5924533,Brea-Olinda High,7.0,Public,9 to 12
540,http://www.redfin.com/CA/Brea/1577-Gatewood-Ct-92821/home/4120236,Ladera Palma Elementary,4.0,Public,K to 4
541,http://www.redfin.com/CA/Brea/1577-Gatewood-Ct-92821/home/4120236,Sierra Vista Elementary,5.0,Public,K to 6
542,http://www.redfin.com/CA/Brea/1577-Gatewood-Ct-92821/home/4120236,Washington Middle,4.0,Public,7 to 8
543,http://www.redfin.com/CA/Brea/1577-Gatewood-Ct-92821/home/4120236,Sonora High,8.0,Public,9 to 12
544,http://www.redfin.com/CA/Brea/1708-Summerfield-Cir-92821/home/4155725,Brea Country Hills Elementary,7.0,Public,K to 6
545,http://www.redfin.com/CA/Brea/1708-Summerfield-Cir-92821/home/4155725,Brea Junior High,8.0,Public,7 to 8
546,http://www.redfin.com/CA/Brea/1708-Summerfield-Cir-92821/home/4155725,Brea-Olinda High,7.0,Public,9 to 12
547,http://www.redfin.com/CA/Brea/2301-Raintree-Dr-92821/home/4153272,Brea Country Hills Elementary,7.0,Public,K to 6
548,http://www.redfin.com/CA/Brea/2301-Raintree-Dr-92821/home/4153272,Brea Junior High,8.0,Public,7 to 8
