,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS#,LATITUDE,LONGITUDE,Average School Rating,Crime per Capita (1000s)
1075,104 Via Zapata,San Clemente,CA,92672,1650000,4,2.5,2892.0,13939.0,1977.0,22.0,571.0,http://www.redfin.com/CA/San-Clemente/104-Via-Zapata-92672/home/4994078,210021657,33.417928499999995,-117.5888145,7.333,3.2351889008134633
1076,131 W Paseo De Cristobal,San Clemente,CA,92672,1749000,3,3.0,1654.0,5267.0,1953.0,22.0,1057.0,http://www.redfin.com/CA/San-Clemente/131-W-Paseo-De-Cristobal-92672/home/5007700,OC21167859,33.4187904,-117.60989280000001,7.333,3.2351889008134633
1077,4829 Camino Costado,San Clemente,CA,92673,1450000,4,3.0,2916.0,7290.0,2001.0,23.0,497.0,http://www.redfin.com/CA/San-Clemente/4829-Camino-Costado-92673/home/5819338,SR21167811,33.4691543,-117.61875309999999,7.667,3.2351889008134633
1078,840 Calle Pluma,San Clemente,CA,92673,1249000,3,2.5,1524.0,1586.0,1975.0,24.0,820.0,http://www.redfin.com/CA/San-Clemente/840-Calle-Pluma-92673/home/4972268,LG21165939,33.4644865,-117.65286280000001,6.667,3.2351889008134633
1079,154 Avenida Miramar,San Clemente,CA,92672,1799000,4,2.5,1747.0,4000.0,1928.0,24.0,1030.0,http://www.redfin.com/CA/San-Clemente/154-Avenida-Miramar-92672/home/3272958,OC21160134,33.4281599,-117.6161972,6.667,3.2351889008134633
1080,114 W Avenida Valencia,San Clemente,CA,92672,1749999,3,3.0,1770.0,4509.0,1976.0,24.0,989.0,http://www.redfin.com/CA/San-Clemente/114-W-Avenida-Valencia-92672/home/5007966,221004133,33.418202,-117.6072,7.333,3.2351889008134633
1081,3820 Vista Blanca,San Clemente,CA,92672,7100000,4,6.0,7400.0,14000.0,1988.0,32.0,959.0,http://www.redfin.com/CA/San-Clemente/3820-Vista-Blanca-92672/home/3280497,OC21158421,33.398924900000004,-117.600748,7.333,3.2351889008134633
1082,103 Via Almodovar,San Clemente,CA,92672,3499888,5,5.5,4313.0,6399.0,2018.0,33.0,811.0,http://www.redfin.com/CA/San-Clemente/103-Via-Almodovar-92672/home/12254547,OC21158881,33.437926899999994,-117.63459590000001,6.333,3.2351889008134633
1083,2716 Via Montezuma,San Clemente,CA,92672,1299999,4,2.0,1822.0,6730.0,1964.0,34.0,714.0,http://www.redfin.com/CA/San-Clemente/2716-Via-Montezuma-92672/home/5002606,PW21158207,33.447472499999996,-117.6382129,6.333,3.2351889008134633
1084,3019 Calle Juarez,San Clemente,CA,92673,2100000,4,2.5,2987.0,7437.0,1979.0,35.0,703.0,http://www.redfin.com/CA/San-Clemente/3019-Calle-Juarez-92673/home/4978978,OC21157291,33.4516902,-117.64050490000001,6.333,3.2351889008134633
